date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:34	15638/15638	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:16:28%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/5.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/5.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:34	16936/16936	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:17:42%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/6.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/6.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:34	17258/17258	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:18:54%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/7.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/7.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:35	107810/107810	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:20:38%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/8.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/8.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:35	81995/81995	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:22:06%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/9.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/9.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:36	49799/49799	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Feb%202019%2008:49:10%20GMT	https://akademi.dexignlab.com/xhtml/vendor/lightgallery/js/lightgallery-all.min.js	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/lightgallery/js/lightgallery-all.min.js	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:36	11508/11508	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:44:38%20GMT	https://akademi.dexignlab.com/xhtml/vendor/chartist/css/chartist.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/chartist/css/chartist.min.css	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:36	8194/8194	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202017%2014:23:28%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:36	17148/17148	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2008:56:32%20GMT	https://akademi.dexignlab.com/xhtml/images/contacts/pic-333.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/contacts/pic-333.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:36	17416/17416	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2008:57:16%20GMT	https://akademi.dexignlab.com/xhtml/images/contacts/pic444.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/contacts/pic444.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:37	17494/17494	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2008:57:56%20GMT	https://akademi.dexignlab.com/xhtml/images/contacts/pic555.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/contacts/pic555.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:37	17346/17346	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2008:58:22%20GMT	https://akademi.dexignlab.com/xhtml/images/contacts/pic666.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/contacts/pic666.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:37	35605/35605	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Mar%202023%2004:22:08%20GMT	https://akademi.dexignlab.com/xhtml/images/coures/2.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/coures/2.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:37	11861/11861	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Mar%202023%2004:22:08%20GMT	https://akademi.dexignlab.com/xhtml/images/coures/3.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/coures/3.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:38	20546/20546	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Mar%202023%2004:22:08%20GMT	https://akademi.dexignlab.com/xhtml/images/coures/4.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/coures/4.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
18:19:38	18867/18867	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Mar%202023%2004:22:08%20GMT	https://akademi.dexignlab.com/xhtml/images/coures/5.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/coures/5.jpg	(from https://akademi.dexignlab.com/xhtml/chat.html)
